Spreadsheet Row Number,work_image,structure,role,work_type,work_accession_number,file_accession_number,filename,label,description,Capture date,Staff Initials,Container number ex. Box Number,folder number,Width (cm.),Height (cm.),Date (Year+Month+Day),project_job_number,Notes about album page or photo,Production Notes,Creator,Source,Copyright Notice
1,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_1_01_a,p0386_grea_b1_f1_1_01_a.tif,,,,,1,1,,,,p0386,,,,,
2,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_2_01_a,p0386_grea_b1_f1_2_01_a.tif,,,,,1,1,,,,p0386,,,,,
3,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_3_01_a,p0386_grea_b1_f1_3_01_a.tif,,,,,1,1,,,,p0386,,,,,
4,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_4_01_a,p0386_grea_b1_f1_4_01_a.tif,,,,,1,1,,,,p0386,,,,,
5,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_5_01_a,p0386_grea_b1_f1_5_01_a.tif,,,,,1,1,,,,p0386,,,,,
6,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_6_01_a,p0386_grea_b1_f1_6_01_a.tif,,,,,1,1,,,,p0386,,,,,
7,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_7_01_a,p0386_grea_b1_f1_7_01_a.tif,,,,,1,1,,,,p0386,,,,,
8,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_8_01_a,p0386_grea_b1_f1_8_01_a.tif,,,,,1,1,,,,p0386,,,,,
9,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_9_01_a,p0386_grea_b1_f1_9_01_a.tif,,,,,1,1,,,,p0386,,,,,
10,,,A,IMAGE,p0386_grea_b1_f1,p0386_grea_b1_f1_10_01_a,p0386_grea_b1_f1_10_01_a.tif,,,,,1,1,,,,p0386,,,,,
